,Longitude,Latitude,cluster,centroids
450,83.1764483,18.10048,13,0
451,83.1883416,18.09478,13,0
452,83.188485,18.0950966,13,0
453,83.1884133,18.0950933,13,0
454,83.176435,18.1000583,13,0
455,83.2130283,18.0864983,13,0
456,83.2309616,18.0435483,13,0
457,83.2344933,18.0422383,13,0
458,83.230365,18.0744083,13,0
459,83.2307766,18.0754483,13,0
460,83.2282266,18.0726783,13,0
461,83.2781733,17.985095,13,0
462,83.241615,17.99483,13,0
463,83.2575683,18.0128283,13,0
464,83.2573416,18.01223,13,0
465,83.2777567,17.9823217,13,0
466,83.1571517,18.0106433,13,0
467,83.15837,18.0099767,13,0
468,83.1583483,18.007925,13,0
469,83.0206517,17.9924167,13,0
470,83.2767867,17.9820933,13,0
471,83.27817,17.9844133,13,0
472,83.2774533,17.98282,13,0
473,83.276985,17.9833183,13,0
474,83.2773267,17.9777533,13,0
475,83.27811,17.9843967,13,0
476,83.2782817,17.9844983,13,0
477,83.2779283,17.9808217,13,0
478,83.27723,17.981685,13,0
479,83.2780417,17.981525,13,0
480,83.2770417,17.9780183,13,0
481,80.3347083,16.468895,0,0
482,80.334685,16.4689467,0,0
483,80.3621217,16.57495,1,0
484,80.3491667,16.579355,1,0
485,80.3663067,16.5353733,1,0
486,77.5910067,14.7040067,0,0
487,80.36637,16.53039,1,0
488,82.578525,18.2955367,12,0
489,80.4146517,16.5629617,1,0
490,79.4022417,13.5952617,0,0
491,82.4842933,18.3410483,12,0
492,78.3428233,13.7856683,0,0
493,79.0088467,14.7188217,0,0
494,78.86984,14.882565,0,0
495,82.5140583,18.3320667,12,0
496,81.254775,16.5267517,1,0
497,77.56227,13.8407067,0,0
498,78.66058,14.7577017,0,0
499,78.9341567,14.866475,0,0
500,78.9452917,14.8290583,0,0
501,79.0088467,14.7188217,0,0
502,78.64299,14.69295,0,0
503,83.2218433,17.9800633,13,0
504,77.58288,14.7028033,0,0
505,78.880445,14.8176383,0,0
506,78.97837,14.7935367,0,0
507,79.0088817,14.7187633,0,0
508,79.008345,14.7198733,0,0
509,77.5959383,14.7075633,0,0
510,77.5999717,14.705585,0,0
511,77.5959517,14.7073783,0,0
512,77.5959183,14.7074717,0,0
513,78.685865,14.879415,0,0
514,78.6173467,14.761815,0,0
515,78.7453817,14.693185,0,0
516,77.5958217,14.7076517,0,0
517,78.740395,14.663895,0,0
518,77.6139833,14.6476417,0,0
519,78.9906683,14.74335,0,0
520,78.9341067,14.8664917,0,0
521,78.9342533,14.8665267,0,0
522,78.649955,14.727085,0,0
523,78.6459317,14.692235,0,0
524,77.5964817,14.7023317,0,0
525,77.5957683,14.7077867,0,0
526,77.62108,14.6529833,0,0
527,77.597005,14.7025583,0,0
528,78.5846467,14.73535,0,0
529,77.62119,14.652775,0,0
530,77.5984833,14.7017433,0,0
531,77.62084,14.65276,0,0
532,77.5967067,14.7024733,0,0
533,81.0471583,16.3525417,1,0
534,77.59733,14.7042433,0,0
535,78.59285,14.7441933,0,0
536,78.591775,14.7440883,0,0
537,78.591825,14.7441133,0,0
538,78.5649283,14.7560133,0,0
539,78.5650883,14.7559967,0,0
540,78.5648983,14.755985,0,0
541,77.4195917,15.1135617,0,0
542,77.570405,15.088255,0,0
543,77.7415383,15.1303233,0,0
544,78.5651133,14.7542867,0,0
545,77.54163,15.1174367,0,0
546,78.5651983,14.7543167,0,0
547,77.51379,14.9950833,0,0
548,77.4871383,14.9611867,0,0
549,77.462925,15.123175,0,0
550,83.3750533,17.9552333,13,0
551,77.49967,15.054335,0,0
552,77.5333867,14.98612,0,0
553,78.537865,14.7219883,0,0
554,78.5198733,14.7591667,0,0
555,77.57914,14.7102067,0,0
556,77.5138683,14.9954033,0,0
557,77.51517,14.9969483,0,0
558,80.728865,16.75471,1,0
559,80.4084883,16.660395,1,0
560,77.566985,15.1016617,0,0
561,77.5114767,15.1346617,0,0
562,81.038175,16.45694,1,0
563,84.1976483,18.5677317,13,0
